vessel_name,owner,owner_address,vessel_type,flag,owner_location,home_port
LB MARK ANTHONY-44,RLGFI CORPORATION,"BANISIL, TAMBLER, GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('TAMBLER', None)","('General Santos', 'PHL')"
LB MARK ANTHONY-35,RLGFI CORPORATION,"BANISIL, TAMBLER, GENERAL SANTOS CITY, PHILIPPINES",Unknown abbreviation,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
LB MARK ANTHONY-43,RLGFI CORPORATION,"BANISIL, TAMBLER, GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('TAMBLER', None)","('General Santos', 'PHL')"
SOLANDER KARIQA,Solander Pacific Ltd,"P.O.Box 178, Suva",Tuna longliner,FJI,"('P.O.Box 178', None)","('Suva', 'FJI')"
SOLANDER II,Solander Pacific Limited,"P.O. Box 178, Suva",Tuna longliner,FJI,"('P.O. Box 178', None)","('Suva', 'FJI')"
THEOTOKOS,TRINITY HOME INDUSTRIAL DEVELOPMENT CORPORATION,"Spring Valley Compound, Tambler, General Santos City, Philippines",Purse seiner,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
LB STO NINO-835,STO. NINO AQUA FISHING VENTURES CORPORATION,"CABU, BAWING, GENERAL SANTOS CITY, PHILIPPINES",Unknown abbreviation,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
LB STO NINO-824,STO.  NINO AQUA FISHING VENTURES CORPORATION,"CABU, BAWING, GENERAL SANTOS CITY, PHILIPPINES",Unknown abbreviation,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
LB STO NINO-818,STO.  NINO AQUA FISHING VENTURE CORPORATION,"BO. HALL MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILIPPINES",Unknown abbreviation,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
LB STO NINO-812,"ISIDRO B. UY, JR.","BO. HALL MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILIPPINES",Unknown abbreviation,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
TS 2012-A,TRINITY HOME INDUSTRIAL DEVELOPMENT CORPORATION,"SPRINGVALLEY COMPOUND, TAMBLER, GENERAL SANTOS CITY, PHILIPPINES",Fish carrier,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
LB RRCS D25,RRCS MARINE & INDUSTRIAL DEVELOPMENT CORPORATION,"Banisil, Tambler, General Santos City, Philippines",Unknown abbreviation,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
LB RRCS C15,RRCS MARINE & INDUSTRIAL DEVELOPMENT CORPORATION,"Banisil, Tambler, General Santos City, Philippines",Unknown abbreviation,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
LB E-V-E,RELL & RENN FISHING CORPORATION,"Tambler, General Santos City, Philippines",Unknown abbreviation,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
RB DOLORES 828B,ASIA PACIFIC ALLIED FISHING VENTURES CORPORATION,"1st Road Calumpang, General Santos City",Unknown abbreviation,PHL,"('1st Road Calumpang', None)","('General Santos', 'PHL')"
VICTOR 8,FFC SUBIC SEAFOOD CORPORATION,"The Venue Bldg., Unit 301-Lot C-5, Commercial Area, Subic Bay Gateway Park, Subic Bay Freeport Zone",Unknown abbreviation,PHL,"('Subic Bay Gateway Park', None)","('Manila', 'PHL')"
LB JAN JANICE 18,"SOUTHERN PHILIPPINES TUNA VENTURES, INC.","CABU, BAWING, GENERAL SANTOS CITY, PHILIPPINES",Unknown abbreviation,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
SULAWESI STAR,"CHL FISHING INDUSTRY, INC.","UNI-HUB BLDG., PENDATUN AVE., GENERAL SANTOS CITY",Fish carrier,PHL,"('PENDATUN AVE.', None)","('General Santos', 'PHL')"
SULAWESI STAR 2,"CHL FISHING INDUSTRY, INC.","UNI-HUB BLDG., PENDATUN AVE., GENERAL SANTOS CITY",Fish carrier,PHL,"('PENDATUN AVE.', None)","('General Santos', 'PHL')"
SULAWESI STAR-3-CHL,"CHL FISHING INDUSTRY, INC.","UNI-HUB BUILDING, PENDATUN AVENUE, GENERAL SANTOS CITY, PHILIPPINES",Fish carrier,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
LB PRINCE CHARLES 01,"CHL FISHING INDUSTRY, INC.","UNI-HUB BLDG., PENDATUN AVE., GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('PENDATUN AVE.', None)","('General Santos', 'PHL')"
LB RR STO NINO,NATHANIEL CABALLERO,"BANISIL, TAMBLER, GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('TAMBLER', None)","('General Santos', 'PHL')"
LB RR-7C,RELL & RENN FISHING CORPORATION,"Tambler, General Santos City, Philippines",Unknown abbreviation,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
DANIEL DAVE VII,Rell and Renn Fishing Corporation,"Banisil, Tambler, General Santos City",Fish carrier,PHL,"('Tambler', None)","('General Santos', 'PHL')"
DANIEL DAVE-10,Rell and Renn Fishing Corporation,"Banisil, Tambler, General Santos City, Philippines",Fish carrier,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
JUAN MIGUEL-5,RELL & RENN FISHING CORPORATION,"BANISIL, TAMBLER, GENERAL SANTOS CITY, PHILIPPINES",Fish carrier,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
JUAN MIGUEL-6,RELL & RENN FISHING CORPORATION,"BANISIL, TAMBLER, GENERAL SANTOS CITY, PHILIPPINES",Fish carrier,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
TS 2003-A,TRINITY HOME INDUSTRIAL DEVELOPMENT CORP. (THIDCOR),"SPRINGVALLEY COMPOUND, TAMBLER, GENERAL SANTOS CITY",Fish carrier,PHL,"('TAMBLER', None)","('General Santos', 'PHL')"
NO8 KYUNG YANG,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO, SEO-GU, BUSAN, KOREA",Tuna longliner,KOR,"('BUSAN', None)","('Busan', None)"
NO 21 KYUNG YANG,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO, SEO-GU, BUSAN, KOREA",Tuna longliner,KOR,"('BUSAN', None)","('Busan', None)"
NO7 KYUNG YANG,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA",Tuna longliner,KOR,"('BUSAN', None)","('Busan', None)"
NO6 KYUNG YANG,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA",Tuna longliner,KOR,"('BUSAN', None)","('Busan', None)"
NO2 KYUNG YANG,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA",Tuna longliner,KOR,"('BUSAN', None)","('Busan', None)"
SHENG FENG NO76,"CHEN, SHUI-SHENG","No. 88-8, Zhongzheng Rd., Liuqiu Township, Pingtung County 929003 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 929003', None)","('Kaohsiung', None)"
YI SHUN,"YI SHUN FISHERY CO.,LTD.","5F., No.139, Hou?an Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 806', None)","('Kaohsiung', None)"
YI RONG NO3,"LEE, KUN-CHENG","No.1,Kaiyuan 1st Lin., Chaozhou Township, Pingtung County 92055, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92055', None)","('Kaohsiung', None)"
LB SALAMBAO,"CHL FISHING INDUSTRY, INC.","UNIHUB BUILDING, PENDATUN AVENUE, GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('PENDATUN AVENUE', None)","('General Santos', 'PHL')"
LB SALAMBAO-2,"CHL FISHING INDUSTRY, INC.","Unihub, Building, Pendatun Ave., General Santos City",Unknown abbreviation,PHL,"('Pendatun Ave.', None)","('General Santos', 'PHL')"
LB LORRAINE 2,"CHL FISHING INDUSTRY, INC.","UNI-HUB BLDG., PENDATUN AVE., GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('PENDATUN AVE.', None)","('General Santos', 'PHL')"
LB KING EDWARD-2,"CHL FISHING INDUSTRY, INC.","UNI-HUB BLDG., PENDATUM AVE., GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('PENDATUM AVE.', None)","('General Santos', 'PHL')"
PULAU PERMATA - I,"BINTANG MANDIRI BERSAUDARA, PT.","Jl. Tandurusa Lingk I, Kel. Aertembaga Satu, Kec. Aertembaga, Kota BITUNG, Prov. SULAWESI UTARA",Purse seiner,IDN,"('Kota BITUNG', None)","('Benoa, Bali', 'IDN')"
SHENG MAN FENG,"CHEN, CI-SHENG","No. 73-6, Zhongshan Rd., Liuqiu Township, Pingtung County 929001 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 929001', None)","('Kaohsiung', None)"
FUKUYO MARU NO7,FUKUYO SUISAN KABUSHIKI KAISHA,"5-2 UOICHIBAMAE, KESENNUMA-SHI, MIYAGI, JAPAN",Tuna longliner,JPN,"('MIYAGI', 'JPN')","('Kesennuma', 'JPN')"
CHIN TE CHENG NO188,"CHEN, PIAO-LIEN","No. 87, Guangqian Rd., Linbian Township, Pingtung County 927004 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 927004', None)","('Kaohsiung', None)"
CHAD FU CHANG,"TSAO, NENG-TSAO","No.124-32, Zhenhai Rd., Donggang Township, Pingtung County 92845, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92845', None)","('Kaohsiung', None)"
LIAN JYI HSING,"LIAN JYI HSING MARINE PRODUCTS CO., LTD","1F., No.58, Fengdeng St., Xiaogang Dist., Kaohsiung City 81245, Taiwan (R.O.C.)",Fish carrier,TWN,"('Kaohsiung City 81245', None)","('Kaohsiung', None)"
MAAN JYH FWU,"SHEU, TSONG-MING","No. 36-1, Ln. 1, Fuxing Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 929002', None)","('Kaohsiung', None)"
MING TSAIR FA NO10,"SHEU, JHE-MING","No.45-6, Zhongshan Rd., Donggang Township, Pingtung County 92849, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92849', None)","('Kaohsiung', None)"
CHING CHUEN FA NO10,"WU, FU-NAM","No.26, Yansin Rd., Sinyuan Township, Pingtung County 93248, Taiwan",Tuna longliner,TWN,"('Pingtung County 93248', None)","('Kaohsiung', None)"
SHENG FU JIN,"CHOU, YA-JUN","6F., No.21, Ln. 170, Wenci Rd., Zuoying Dist., Kaohsiung City 81368, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 81368', None)","('Kaohsiung', None)"
SOUTHERN HORIZON,"F/V PAC HORIZON, INC","1250 SANTA BARBARA ST, SAN DIEGO, CA 92107-3960, USA",Unknown abbreviation,USA,"('CA 92107-3960', None)","('San Diego', None)"
LIAN HORNG NO777,"LIAN HORNG FISHERY CO.,LTD.","1F., No. 53, Zhongshanheng Rd., Xinxing Dist., Kaohsiung City 800051 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 800051', None)","('Kaohsiung', None)"
CHIN YOU MING,"CHIN YOU MING FISHERY CO., LTD.","No.98, Hefeng St., Qianzhen Dist., Kaohsiung City 80668, Taiwan",Tuna longliner,TWN,"('Kaohsiung City 80668', None)","('Kaohsiung', None)"
HUNG SENG,"SHYR HORNG FISHERY CO., LTD","No.29-2, Binhai 2nd Rd., Gushan District, Kaohsiung City 804, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 804', None)","('Kaohsiung', None)"
SHUN RONG NO168,"SHUN RONG FISHERY CO., LTD","1F., No. 10, Ln. 38, Mingli Rd., Donggang Township, Pingtung County 928004 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928004', None)","('Kaohsiung', None)"
CHIN YOU WEN,"CHIN YOU WEN FISHERY CO., LTD.","No.98, Hefong St., Cianjhen Dist., Kaohsiung City 80668, Taiwan",Tuna longliner,TWN,"('Kaohsiung City 80668', None)","('Kaohsiung', None)"
NO55 SHIN YUNG,"SILLA Co., Ltd","30, Godeokbizvalley-ro 6-gil,Gangdong-gu,Seoul,Republic of Korea",Tuna longliner,KOR,"('Seoul', None)","('Busan', None)"
ORYONG NO316,"SAJO INDUSTRIES CO., LTD.","107-39, Tongil Ro,Seodaemun-gu,Seoul, Korea",Tuna longliner,KOR,"('Seoul', None)","('Busan', None)"
SUNSTAR 7,"DALIAN JINGUANG FISHERY CO.,LTD.",NO.55 Dandong Road Zhongshan District Dalian,Longliner,CHN,"(None, None)","('Dalian', 'CHN')"
HENG HONG 5,"ZHEJIANG HENGHONG SHIPPING CO., LTD","NO. 65-1 Free Trade Village, Qiandao Central Business District, Zhoushan City, (Zhejiang)Pilot Free Trade Zone, China",Fish carrier,CHN,"('(Zhejiang)Pilot Free Trade Zone', 'CHN')","('Zhoushan', 'CHN')"
DOLORES 858,OCEAN BOUNTY FISHING VENTURES CORPORATION,"1ST ROAD, CALUMPANG, GENERAL SANTOS CITY,PHILIPPINES",Tuna purse seiner,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
AYA MARU NO58,"Yamaguchi,Yoshiaki","3-8-4,KANAGUSUKU,NAHA-SHI,OKINAWA,JAPAN",Tuna longliner,JPN,"('OKINAWA', 'JPN')","('Naha', 'JPN')"
SHEN GANG FA NO1,"SHENZHEN SHENGANG OVERSEAS INDUSTRIAL CO.,LTD.","Room 1302,International Chamber Of Commerce Building, Xinzhou Road East,Futian District, Shenzhen City , China",Tuna longliner,CHN,"('Shenzhen City', 'CHN')","('Shenzhen', 'CHN')"
KAIEN MARU NO38,"SANKO CO., LTD.","4-17-10 NISHIZAKI-CHO,ITOMAN-CITY, OKINAWA, JAPAN",Tuna longliner,JPN,"('OKINAWA', 'JPN')","('Itoman', 'JPN')"
NO52 SHIN YUNG,"SILLA Co., Ltd","30, Godeokbizvalley-ro 6-gil,Gangdong-gu,Seoul,Republic of Korea",Tuna longliner,KOR,"('Seoul', None)","('Busan', None)"
TAIYO MARU NO2,"TAIKEI GYOGYO CO.,LTD. ; TAIYO A & F CO.,LTD.","280, MINATO AZA DAIMONZAKI, ISHINOMAKI-SHI, MIYAGI, JAPAN ; 4-5 TOYOMI-CHO, CHUO-KU, TOKYO, JAPAN",Tuna purse seiner,JPN,"('TOKYO', 'JPN')","('Yaizu', 'JPN')"
JENN FWU SHYANG,"CHEN, XIN-HAN","No.8-28, Zhongshan Rd., Liuqiu Township, Pingtung County 92941, Taiwan",Tuna longliner,TWN,"('Pingtung County 92941', None)","('Kaohsiung', None)"
MAAN DAH FENG NO2,"HORNG, MING-FA","No.11-2, Heping Rd., Liouciou Township, Pingtung County 929, Taiwan",Tuna longliner,TWN,"('Pingtung County 929', None)","('Kaohsiung', None)"
JI FU FA,"HUANG, JHANG-YAO","No.12, Lane 43, Anyu Rd., Jhenhai Village Donggang Township, Pingtung County Taiwan(R.O.C.)",Tuna longliner,TWN,"('Jhenhai Village Donggang Township', None)","('Kaohsiung', None)"
YING RONG NO638,NENG DE OCEAN COMPANY LTD.,"1F., No. 238, Lainan St., Yancheng Dist., Kaohsiung City 803006 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 803006', None)","('Kaohsiung', None)"
KIFUKU MARU NO51,KIFUKU SUISAN INC,"2615-11,NAKAMURA-KOU, NANGO-CHO, NICHINAN-SHI, MIYAZKI, JAPAN",Tuna longliner,JPN,"('MIYAZKI', 'JPN')","('Nango', 'JPN')"
CLEARWATER 03,"Liancheng Overseas Fishery (FSM) Co., ltd","P.O. BOX 1833 KOLONIA, POHNPEI FEDERATED STATES OF MICRONESIA 96941",Tuna longliner,FSM,"('P.O. BOX 1833 KOLONIA', None)","('Pohnpei', None)"
TIEN CHING FU,LIN WEN HSIUNG,"No.72-1, Jialian Village Donggand Township, Pingtung County Taiwan,(R.O.C.)",Tuna longliner,TWN,"('Pingtung County Taiwan', None)","('Kaohsiung', None)"
WANN FA CHERNG NO11,"HUANG, RONG-TONG","No.7-20, Zhenhai Rd., Donggang Township, Pingtung County 92845, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92845', None)","('Kaohsiung', None)"
YUNG SHENG TSAI NO33,"CHERN, MAO-SUNG","No.8-30, Zhongshan Rd., Liuqiu Township, Pingtung County 92941, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92941', None)","('Kaohsiung', None)"
JIN YUAN CHUN NO16,"CHEN SUN,MEI-YU","No.96-6, Shangjhu Lane, Cijin District, Kaohsiung City 805, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 805', None)","('Kaohsiung', None)"
SNOEI DEI TSAI,"CHERN, SHOEI-BII","No.37-9, Jhenhai Rd., Donggang Township, Pingtung County 928, Taiwan",Tuna longliner,TWN,"('Pingtung County 928', None)","('Kaohsiung', None)"
JIUN MING SHING NO21,CHEN MING HUI,"No.13, Aly. 1, Ln. 65, Shunyu Rd., Donggang Township, Pingtung County 92846, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92846', None)","('Kaohsiung', None)"
CHYUAN YEOU TSAIR NO8,"ZHONG, HE-ZHI","No. 68, Shiguang St., Jiadong Township, Pingtung County 931003 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 931003', None)","('Kaohsiung', None)"
MAN FU TSAI NO168,"TSAI, CHUNG-LUNG","No. 80, Minsheng Rd., Liuqiu Township, Pingtung County 929001 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 929001', None)","('Kaohsiung', None)"
SHENG FENG NO215,"HUNG, WEN-YUAN","No. 88, Mingli 3rd St., Donggang Township, Pingtung County 928004, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928004', None)","('Kaohsiung', None)"
CHIN TE CHENG NO166,LIN SHIH HSUAN,"No.87, Guangcian Rd., Linbian Township, Pingtung County 92746, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92746', None)","('Kaohsiung', None)"
SAN LAI FA NO21,"CHI, GUO-MING","No.37, Fongyu Rd., Linbian Township, Pingtung County 92745, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92745', None)","('Kaohsiung', None)"
LU RONG YUAN YU YUN 789,"RONGCHENG CITY RONGYUAN FISHERY CO.,LTD","SHAWODAO VILLAGE RENHE TOWN,RONGCHENG",Fish carrier,CHN,"('SHAWODAO VILLAGE RENHE TOWN', None)","('Shidao', 'CHN')"
YU JINN MAN NO6,"CHEN, CHING FA","No.1-47, Zhenhai Rd., Donggang Township, Pingtung County 92845, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92845', None)","('Kaohsiung', None)"
YI RONG NO18,LEE TSENG MEI,"No.307-26, Xingdong Rd., Donggang Township, Pingtung County 92841, Taiwan",Tuna longliner,TWN,"('Pingtung County 92841', None)","('Kaohsiung', None)"
SHENG YI HSING NO16,"TSAY, WEN TERNG","No.32-3, Fuxing Rd., Liuqiu Township, Pingtung County 92942, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92942', None)","('Kaohsiung', None)"
MARTINA ELIZABETH,TRANS-PACIFIC JOURNEY FISHING CORPORATION,"1094-A North Bay Blvd., Navotas City",Tuna purse seiner,PHL,"('1094-A North Bay Blvd.', None)","('Batangas/Luzon', 'PHL')"
HER HAE NO26,"JHENG, BAO-SUEI","No. 23, Ln. 133, Xinji St., Donggang Township, Pingtung County 928001, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928001', None)","('Kaohsiung', None)"
YI RONG NO168,"YI RONG FISHERY CO., LTD","No.7, Aly. 27, Ln. 507, Sec. 2, Zhongzheng Rd., Donggang Township, Pingtung County 92841, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92841', None)","('Kaohsiung', None)"
SAGAMYOJIN MARU NO88,MYOJIN　SUISAN,"763, SAGA, KUROSHIO-CHO, HATAGUN, KOCHI, JAPAN",Pole and line vessel,JPN,"('KOCHI', 'JPN')","('Kuroshio', 'JPN')"
YUKI MARU NO7,KIMIKO HIGA,"KOHATSU DANCHI B-88,803-64, AZA-KOHATSU, NISHIHARA-CHO, NAKAGAMI-GUN, OKINAWA,JAPAN",Tuna longliner,JPN,"('OKINAWA', 'JPN')","('Naha', 'JPN')"
SAGARA BABYLYN,TRANS-PACIFIC JOURNEY FISHING CORPORATION,"1094-A North Bay Blvd., Navotas City, Metro Manila, Philippines",Tuna purse seiner,PHL,"('Metro Manila', 'PHL')","('Manila', 'PHL')"
KOURYOU MARU NO3,TSUJI SUISAN INC,"1-7-6, NISHI-MACHI, NICHINAN-SHI, MIYAZAKI,JAPAN",Tuna longliner,JPN,"('MIYAZAKI', 'JPN')","('Nichinan', 'JPN')"
SHINPUKU MARU,SHINPUKUMARU SUISAN INC.,"5606-6, OOAZA-HEDA,KAWAMINAMI-CHO, KOYU-GUN, MIYAZAKI,JAPAN",Tuna longliner,JPN,"('MIYAZAKI', 'JPN')","('Kawaminami', 'JPN')"
TAIKEI MARU NO1,"TAIKEI GYOGYO CO., LTD.","280, AZA Daimonzaki, Minato, ISHINOMAKI-SHI, MIYAGI-KEN, JAPAN",Tuna purse seiner,JPN,"('MIYAGI-KEN', 'JPN')","('Ishinomaki', 'JPN')"
LONGBOW NO7,"LONGBOW FISHERY CO., LTD.","First Floor, Law Partners House, Lini Highway, P.O.Box 1019, Port Vila, Vanuatu",Tuna longliner,VUT,"('Port Vila', 'VUT')","('Port Vila', 'VUT')"
YU LONG FA NO22,"HUNG, PAI-CHIN","No. 23-4, Ln. 2, Guangfu Rd., Xinyuan Township, Pingtung County 932014 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 932014', None)","('Kaohsiung', None)"
CAPT ANDY,CAPT ANDY LLC,"1449 HALOA DR, HONOLULU, HI 96818-1945, USA",Tuna longliner,USA,"('HI 96818-1945', None)","('Honolulu', None)"
JANTHINA,"RYDER, TREVOR","PO BOX 97, BATTLE GROUND, WA 98604-0097, USA",Troller,USA,"('WA 98604-0097', None)","('Solana Beach', None)"
KENKEN 888,TSP MARINE INDUSTRIES,"Cabu, Bawing, General Santos City, Philippines",Fish carrier,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
EDWARD G,EDWARD G CO INC,"PO BOX 546, BARNEGAT LGT, NJ 08006-0546, USA",Tuna longliner,USA,"('NJ 08006-0546', None)","('Barnegat Light', None)"
GAIL ANN,LE'S BROS. LLC,"520 LUNALILO HOME RD UNIT 122, HONOLULU, HI 96825-1747, USA",Tuna longliner,USA,"('HI 96825-1747', None)","('Honolulu', None)"
LADY J3,JARON LLC,"PO BOX 148, AIEA, HI 96701-0148, USA",Tuna longliner,USA,"('HI 96701-0148', None)","('Honolulu', None)"
ST JUDE,F/V ST JUDE LLC,"11628 SE 48TH ST, BELLEVUE, WA 98006-2710, USA",Troller,USA,"('WA 98006-2710', None)","('Pago Pago', 'ASM')"
JIN TSAI FU NO888,"FU YI FISHERY CO., LTD","1F., No.319, Sec. 1, Guangfu Rd., Donggang Township, Pingtung County 928007, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928007', None)","('Kaohsiung', None)"
OCEAN FORTUNE 1,OCEAN FORTUNE (FIJI) LIMITED,"33 FREESTONE RD, WALUBAY, SUVA.",Longliner,FJI,"('WALUBAY', None)","('Suva', 'FJI')"
NUSANTARA - 88,"BINTANG MANDIRI BERSAUDARA, PT.","Jl. Tandurusa Lingk I, Kel. Aertembaga Satu, Kec. Aertembaga, Kota BITUNG, Prov. SULAWESI UTARA",Purse seiner,IDN,"('Kota BITUNG', None)","('Tanjung Priok', 'IDN')"
LONGBOW NO1,"LONGBOW FISHERY CO., LTD","First Floor, Law Partners House, Lini Highway, P.O.Box 1019, Port Vila, Vanuatu",Tuna longliner,VUT,"('Port Vila', 'VUT')","('Port Vila', 'VUT')"
GUANGYUANYU335,"GuangDong Guangyuan Fishery Group Co.,LTD","Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City, China",Longliner,CHN,"('Guangzhou City', 'CHN')","('Guangzhou', 'CHN')"
GUANGYUANYU333,"GuangDong Guangyuan Fishery Group Co.,LTD","Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City, China",Longliner,CHN,"('Guangzhou City', 'CHN')","('Guangzhou', 'CHN')"
GUANGYUANYU332,"GuangDong Guangyuan Fishery Group Co.,LTD","Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City, China",Longliner,CHN,"('Guangzhou City', 'CHN')","('Guangzhou', 'CHN')"
GUANGYUANYU331,"GuangDong Guangyuan Fishery Group Co.,LTD","Building 3, 87 Yuan 'an xinjie, Haizhu District, Guangzhou City, China",Longliner,CHN,"('Guangzhou City', 'CHN')","('Guangzhou', 'CHN')"
HU YU 915,SHANGHAI JIN YOU DEEP SEA FISHERIES CO.LTD,"Rm 1201B,International Business Building,No 118 Xinling Rd,Shanghai Free Trade Zone ,China",Tuna longliner,CHN,"('Shanghai Free Trade Zone', 'CHN')","('Shanghai', 'CHN')"
HU YU 913,SHANGHAI JIN YOU DEEP SEA FISHERIES CO.LTD,"Rm 1201B,International Business Building,No 118 Xinling Rd,Shanghai Free Trade Zone ,China",Tuna longliner,CHN,"('Shanghai Free Trade Zone', 'CHN')","('Shanghai', 'CHN')"
KOUEI MARU NO8,Nakasone Tsunemitsu,NAKAZATODAISANBIRU 302 3-15-1 GANEKO GINOWAN-SHI OKINAWA-KEN JAPAN,Tuna longliner,JPN,"(None, None)","('Naha', 'JPN')"
SHUN TIAN FA NO168,"HON SHUN FISHERY CO., LTD.","No.11, Lane 82, Songfu St., Siaogang District, Kaohsiung City 812, Taiwan (R.O.C.)",Fish carrier,TWN,"('Kaohsiung City 812', None)","('Kaohsiung', None)"
SHOKI MARU NO31,SHOUYOSUISAN Co. LTD.,1-5-7-1 NISHIZAKI ITOMAN-SHI OKINAWA JAPAN,Tuna longliner,JPN,"(None, None)","('Itoman', 'JPN')"
SHINEI MARU NO17,KESENNUMA KANAE GYOGYO KABUSHIKI KAISHA,"502-1, Minatomachi, Kesennuma-Shi, Miyagi, Japan",Tuna longliner,JPN,"('Miyagi', 'JPN')","('Kesennuma', 'JPN')"
SHOSHIN MARU NO83,"MARUKICHI CO., LTD","8-17-17,KONAKANO,HACHINOHE-SHI,AOMORI,JAPAN",Tuna longliner,JPN,"('AOMORI', 'JPN')","('Hachinohe', 'JPN')"
ADELITA,ADELITA FISHING LLC,"4395 S CAMERON ST SUITE C, LAS VEGAS, NV 89103, USA",Tuna longliner,USA,"('NV 89103', None)","('Pago Pago', 'ASM')"
MISS QUINN,"FOURTH ANDY, LLC","1449 HALOA DR, HONOLULU, HI 96818-1945, USA",Tuna longliner,USA,"('HI 96818-1945', None)","('Honolulu', None)"
YI SIANG NO168,"TSENG, CHUN-TANG","No. 235, Yiren Rd., Xinyuan Township, Pingtung County 932012 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 932012', None)","('Kaohsiung', None)"
